-43.737675,652.417297,2588.114502;-37.607502,412.359406,2603.961670;-30.761337,214.722839,2621.449951;-190.143387,407.208221,2605.461182;-235.148743,106.555267,2674.368408;-275.303955,-138.780655,2647.437500;114.928383,417.510590,2602.462158;160.280319,152.465820,2715.621338;239.833847,-131.474152,2692.320068;-136.777130,13.274887,2640.047852;-155.213028,-431.650269,2702.465820;-156.674408,-805.927734,2885.779785;88.946785,20.897659,2637.828613;103.126755,-425.788391,2608.017090;122.412109,-868.539185,2601.802246
-39.456551,652.893494,2577.143799;-34.596355,404.980042,2592.018066;-25.405399,212.464035,2608.855225;-186.227295,397.973328,2594.674316;-223.008865,105.411407,2677.716797;-263.395508,-126.934692,2645.367920;117.034599,411.986816,2589.361816;171.723785,148.690948,2691.597168;249.293472,-136.149841,2645.040527;-126.785286,14.838623,2627.629395;-151.782349,-433.912079,2658.506836;-160.607208,-803.010498,2856.295654;94.356407,25.057404,2623.755371;108.298302,-424.894928,2607.434326;122.715851,-865.764526,2611.381104
-32.528072,651.776489,2567.441162;-29.112244,400.143158,2585.393066;-17.368423,205.022827,2598.918457;-181.443390,391.053558,2586.530518;-205.770966,97.766144,2657.339111;-229.753937,-174.442657,2585.024658;123.218903,409.232758,2584.255615;182.968811,147.330902,2669.898682;256.467194,-144.043976,2619.937744;-109.572273,3.699936,2613.219971;-148.277893,-445.019897,2630.715332;-167.168518,-797.632507,2833.932373;98.323067,16.105057,2611.667725;113.037781,-436.548340,2599.817139;121.869278,-878.722168,2612.247070
-26.387367,647.510681,2555.928223;-19.284008,406.903168,2572.052246;-6.773349,209.908890,2583.386719;-176.603195,397.580475,2583.667236;-201.339798,110.942810,2649.111084;-218.943268,-174.321167,2568.585938;138.035172,416.225861,2560.437256;189.056213,146.840454,2651.690430;261.049866,-138.511017,2600.557617;-101.771767,6.543655,2602.658691;-142.304474,-434.183411,2598.474854;-171.454102,-795.916565,2812.228271;113.246391,19.285568,2586.783691;119.922516,-443.370422,2584.436035;122.113976,-883.963623,2616.643799
-20.421814,642.179749,2546.157959;-13.315226,407.005554,2563.909180;-4.322838,211.858185,2571.129395;-172.348770,400.005554,2572.780518;-198.898514,118.439545,2637.509521;-219.221207,-163.782654,2542.853516;145.718307,414.005615,2555.037842;194.644363,147.802368,2648.700195;270.545349,-157.335968,2563.666260;-103.796562,11.936539,2584.400146;-141.828583,-434.586853,2584.448486;-174.380249,-804.297119,2798.070312;113.135658,21.485062,2572.299072;125.585831,-437.380554,2568.145264;122.008621,-878.498718,2610.575439
-17.457092,641.825684,2540.211914;-11.685063,407.086792,2558.354736;-1.093731,211.543121,2565.496582;-169.627472,398.960327,2570.079590;-196.973984,117.837769,2635.277588;-220.179443,-172.534332,2544.289551;146.257324,415.213318,2546.629883;202.212830,147.670502,2628.440918;282.544647,-156.810974,2551.854736;-95.457443,10.599258,2580.429688;-140.752930,-433.090332,2571.682373;-181.176132,-801.596191,2779.016846;114.452637,21.399612,2564.847168;129.523102,-437.509399,2565.475098;122.702087,-882.924683,2615.782471
-18.265476,642.689941,2530.684814;-8.456794,403.659607,2548.683105;2.289087,208.943802,2558.307617;-163.684296,395.513489,2557.190918;-194.892349,114.198059,2629.722656;-218.957214,-174.539368,2528.962158;146.770721,411.805725,2540.175293;210.805206,146.727600,2611.947021;293.250122,-147.053223,2527.959473;-89.325996,8.856247,2573.542480;-141.728424,-435.349854,2562.371582;-192.908844,-811.887390,2747.981689;115.395927,19.599747,2562.321777;131.576050,-437.671936,2559.282227;121.715576,-883.282593,2614.340088
-15.197070,645.027954,2510.878418;-6.091683,401.245728,2544.030762;5.356155,208.150497,2545.496826;-160.292892,392.192596,2555.733154;-192.618866,104.436981,2620.880371;-216.384659,-189.490570,2512.452637;148.109512,410.298859,2532.328369;210.932144,146.740265,2599.493164;298.632172,-132.838654,2516.809326;-87.158554,8.951645,2554.852783;-135.514526,-440.980408,2525.868408;-194.811600,-819.359131,2722.330566;120.766541,21.158890,2539.072998;132.320923,-436.298950,2555.552490;121.315926,-885.472168,2616.712891
-13.418787,645.603149,2506.702637;-4.960611,398.289185,2534.911133;6.997990,206.890320,2537.183838;-158.804550,388.888733,2552.741699;-191.868195,103.887482,2619.130371;-222.679199,-191.144012,2513.779785;148.883316,407.689667,2517.080566;213.046005,142.051361,2586.727783;288.007507,-125.745392,2488.472900;-86.712799,9.034637,2551.703613;-133.210144,-444.014557,2507.248779;-198.928375,-841.097778,2679.344971;124.625992,21.948242,2527.209473;129.150528,-437.464294,2546.098877;121.654564,-883.366943,2619.352051
-12.474844,645.039795,2509.327393;-5.827919,400.689331,2534.276611;6.346427,208.727631,2531.793213;-158.358963,390.833923,2548.329346;-190.119415,106.668335,2613.076904;-227.903519,-173.423370,2518.966309;146.703110,410.544769,2520.223877;214.222702,141.918243,2579.959717;282.845306,-109.223465,2493.814697;-86.158119,10.002335,2538.953857;-131.346634,-449.802551,2496.173096;-202.607544,-858.395203,2653.582764;123.199669,23.529495,2519.665771;127.174194,-436.490662,2539.283203;122.143593,-882.768494,2619.641602
